----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
          Linear-195             [-1, 196, 512]       1,049,088
         Dropout-196             [-1, 196, 512]               0
             Mlp-197             [-1, 196, 512]               0
        DropPath-198             [-1, 196, 512]               0
SwinTransformerBlock-199          [-1, 14, 14, 512]               0
       LayerNorm-200          [-1, 14, 14, 512]           1,024
          Linear-201             [-1, 49, 1536]         787,968
         Softmax-202           [-1, 16, 49, 49]               0
         Dropout-203           [-1, 16, 49, 49]               0
          Linear-204              [-1, 49, 512]         262,656
         Dropout-205              [-1, 49, 512]               0
 WindowAttention-206              [-1, 49, 512]               0
        DropPath-207          [-1, 14, 14, 512]               0
       LayerNorm-208             [-1, 196, 512]           1,024
          Linear-209            [-1, 196, 2048]       1,050,624
            GELU-210            [-1, 196, 2048]               0
         Dropout-211            [-1, 196, 2048]               0
          Linear-212             [-1, 196, 512]       1,049,088
         Dropout-213             [-1, 196, 512]               0
             Mlp-214             [-1, 196, 512]               0
        DropPath-215             [-1, 196, 512]               0
SwinTransformerBlock-216          [-1, 14, 14, 512]               0
       LayerNorm-217          [-1, 14, 14, 512]           1,024
          Linear-218             [-1, 49, 1536]         787,968
         Softmax-219           [-1, 16, 49, 49]               0
         Dropout-220           [-1, 16, 49, 49]               0
          Linear-221              [-1, 49, 512]         262,656
         Dropout-222              [-1, 49, 512]               0
 WindowAttention-223              [-1, 49, 512]               0
        DropPath-224          [-1, 14, 14, 512]               0
       LayerNorm-225             [-1, 196, 512]           1,024
          Linear-226            [-1, 196, 2048]       1,050,624
            GELU-227            [-1, 196, 2048]               0
         Dropout-228            [-1, 196, 2048]               0
          Linear-229             [-1, 196, 512]       1,049,088
         Dropout-230             [-1, 196, 512]               0
             Mlp-231             [-1, 196, 512]               0
        DropPath-232             [-1, 196, 512]               0
SwinTransformerBlock-233          [-1, 14, 14, 512]               0
       LayerNorm-234          [-1, 14, 14, 512]           1,024
          Linear-235             [-1, 49, 1536]         787,968
         Softmax-236           [-1, 16, 49, 49]               0
         Dropout-237           [-1, 16, 49, 49]               0
          Linear-238              [-1, 49, 512]         262,656
         Dropout-239              [-1, 49, 512]               0
 WindowAttention-240              [-1, 49, 512]               0
        DropPath-241          [-1, 14, 14, 512]               0
       LayerNorm-242             [-1, 196, 512]           1,024
          Linear-243            [-1, 196, 2048]       1,050,624
            GELU-244            [-1, 196, 2048]               0
         Dropout-245            [-1, 196, 2048]               0
          Linear-246             [-1, 196, 512]       1,049,088
         Dropout-247             [-1, 196, 512]               0
             Mlp-248             [-1, 196, 512]               0
        DropPath-249             [-1, 196, 512]               0
SwinTransformerBlock-250          [-1, 14, 14, 512]               0
       LayerNorm-251          [-1, 14, 14, 512]           1,024
