Loading config configs/COCO-Detection/../Base-RetinaNet.yaml with yaml.unsafe_load. Your machine may be at risk if the file contains malicious content.
[08/25 17:02:20 detectron2]: Parameter Count:
| name                                      | #elements or shape    |
|     head.cls_subnet.2.weight              |     (256, 256, 3, 3)  |
|     head.cls_subnet.2.bias                |     (256,)            |
|    head.cls_subnet.4                      |    0.6M               |
|     head.cls_subnet.4.weight              |     (256, 256, 3, 3)  |
|     head.cls_subnet.4.bias                |     (256,)            |
|    head.cls_subnet.6                      |    0.6M               |
|     head.cls_subnet.6.weight              |     (256, 256, 3, 3)  |
|     head.cls_subnet.6.bias                |     (256,)            |
|   head.bbox_subnet                        |   2.4M                |
|    head.bbox_subnet.0                     |    0.6M               |
|     head.bbox_subnet.0.weight             |     (256, 256, 3, 3)  |
|     head.bbox_subnet.0.bias               |     (256,)            |
|    head.bbox_subnet.2                     |    0.6M               |
|     head.bbox_subnet.2.weight             |     (256, 256, 3, 3)  |
|     head.bbox_subnet.2.bias               |     (256,)            |
|    head.bbox_subnet.4                     |    0.6M               |
|     head.bbox_subnet.4.weight             |     (256, 256, 3, 3)  |
|     head.bbox_subnet.4.bias               |     (256,)            |
|    head.bbox_subnet.6                     |    0.6M               |
|     head.bbox_subnet.6.weight             |     (256, 256, 3, 3)  |
|     head.bbox_subnet.6.bias               |     (256,)            |
|   head.cls_score                          |   1.7M                |
|    head.cls_score.weight                  |    (720, 256, 3, 3)   |
|    head.cls_score.bias                    |    (720,)             |
|   head.bbox_pred                          |   83.0K               |
|    head.bbox_pred.weight                  |    (36, 256, 3, 3)    |
|    head.bbox_pred.bias                    |    (36,)              |
